Assessment Name,Short Description,URL,text_for_embedding,assessment_type
Swing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/swing-new/,Swing (New). Assessment for evaluating specific skills and competencies,General
SVAR - Spoken English (Indian Accent) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-english-indian-accent-new/,SVAR - Spoken English (Indian Accent) (New). Assessment for evaluating specific skills and competencies,General
Entry Level Sales Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/entry-level-sales-solution/,Entry Level Sales Solution. Assessment for evaluating specific skills and competencies,General
SQL Server Integration Services (SSIS) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sql-server-integration-services-ssis-new/,SQL Server Integration Services (SSIS) (New). Assessment for evaluating specific skills and competencies,General
MS Word (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ms-word-new/,MS Word (New). Assessment for evaluating specific skills and competencies,General
Count Out The Money,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/count-out-the-money/,Count Out The Money. Assessment for evaluating specific skills and competencies,General
WriteX - Email Writing (Customer Service) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/writex-email-writing-customer-service-new/,WriteX - Email Writing (Customer Service) (New). Assessment for evaluating specific skills and competencies,Language
Manufac. & Indust. - Mechanical & Vigilance 8.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mechanical-and-vigilance-focus-8-0/,Manufac. & Indust. - Mechanical & Vigilance 8.0. Assessment for evaluating specific skills and competencies,General
SVAR - Spoken English (US) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-english-us-new/,SVAR - Spoken English (US) (New). Assessment for evaluating specific skills and competencies,General
Teradata Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/teradata-development-new/,Teradata Development (New). Assessment for evaluating specific skills and competencies,General
Universal Competency Framework Job profiling guide,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,Universal Competency Framework Job profiling guide. Assessment for evaluating specific skills and competencies,General
English Comprehension (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/english-comprehension-new/,English Comprehension (New). Assessment for evaluating specific skills and competencies,Language
Financial Accounting (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/financial-accounting-new/,Financial Accounting (New). Assessment for evaluating specific skills and competencies,General
Executive Scenarios Profile Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/executive-scenarios-profile-report/,Executive Scenarios Profile Report. Assessment for evaluating specific skills and competencies,General
Geoinformatics Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/geoinformatics-engineering-new/,Geoinformatics Engineering (New). Assessment for evaluating specific skills and competencies,General
Petrochemical Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,Petrochemical Engineering (New). Assessment for evaluating specific skills and competencies,General
SHL Verify Interactive Numerical Calculation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL Verify Interactive Numerical Calculation. Assessment for evaluating specific skills and competencies,Cognitive
Graduate Scenarios,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/graduate-scenarios/,Graduate Scenarios. Assessment for evaluating specific skills and competencies,General
OPQ User Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-user-report/,OPQ User Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Training Development,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/training-development/,Training Development. Assessment for evaluating specific skills and competencies,General
ETL Testing (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/etl-testing-new/,ETL Testing (New). Assessment for evaluating specific skills and competencies,General
OPQ Candidate Plus Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-candidate-plus-report/,OPQ Candidate Plus Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Automata Front End,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/automata-front-end/,Automata Front End. Assessment for evaluating specific skills and competencies,General
AngularJS (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/angularjs-new/,AngularJS (New). Assessment for evaluating specific skills and competencies,General
Apache Kafka (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Apache Kafka (New). Assessment for evaluating specific skills and competencies,General
360° Multi-Rater Feedback System (MFS),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,360° Multi-Rater Feedback System (MFS). Assessment for evaluating specific skills and competencies,General
Apache Hadoop Extensions (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,Apache Hadoop Extensions (New). Assessment for evaluating specific skills and competencies,General
Paint Technology (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/paint-technology-new/,Paint Technology (New). Assessment for evaluating specific skills and competencies,General
DSI v1.1 Interpretation Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/dsi-v1-1-interpretation-report/,DSI v1.1 Interpretation Report. Assessment for evaluating specific skills and competencies,General
Econometrics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/econometrics-new/,Econometrics (New). Assessment for evaluating specific skills and competencies,General
ReactJS (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/reactjs-new/,ReactJS (New). Assessment for evaluating specific skills and competencies,General
SQL Server (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sql-server-new/,SQL Server (New). Assessment for evaluating specific skills and competencies,General
Business Communications,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/business-communications/,Business Communications. Assessment for evaluating specific skills and competencies,General
Sales & Service Phone Simulation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,Sales & Service Phone Simulation. Assessment for evaluating specific skills and competencies,Simulation
Sales Transformation Report 2.0 - Sales Manager,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-transformation-report-2-0-sales-manager/,Sales Transformation Report 2.0 - Sales Manager. Assessment for evaluating specific skills and competencies,General
Aeronautical Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Aeronautical Engineering (New). Assessment for evaluating specific skills and competencies,General
Mining Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/mining-engineering-new/,Mining Engineering (New). Assessment for evaluating specific skills and competencies,General
Pharmaceutics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,Pharmaceutics (New). Assessment for evaluating specific skills and competencies,General
C# Programming (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/c-programming-new-4039/,C# Programming (New). Assessment for evaluating specific skills and competencies,Technical Skills
Oracle DBA (Advanced Level) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/oracle-dba-advanced-level-new/,Oracle DBA (Advanced Level) (New). Assessment for evaluating specific skills and competencies,General
Core Java (Advanced Level) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/core-java-advanced-level-new/,Core Java (Advanced Level) (New). Assessment for evaluating specific skills and competencies,Technical Skills
Electrical Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/electrical-engineering-new/,Electrical Engineering (New). Assessment for evaluating specific skills and competencies,General
OPQ Team Impact Individual Development Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-team-impact-individual-development-report/,OPQ Team Impact Individual Development Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Agile Software Development,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/agile-software-development/,Agile Software Development. Assessment for evaluating specific skills and competencies,General
Financial and Banking Services (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/financial-and-banking-services-new/,Financial and Banking Services (New). Assessment for evaluating specific skills and competencies,General
Sales Transformation 1.0 - Individual Contributor,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,Sales Transformation 1.0 - Individual Contributor. Assessment for evaluating specific skills and competencies,General
ExpressJS (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/expressjs-new/,ExpressJS (New). Assessment for evaluating specific skills and competencies,General
Polymer Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,Polymer Engineering (New). Assessment for evaluating specific skills and competencies,General
SHL Verify Interactive - Inductive Reasoning,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL Verify Interactive - Inductive Reasoning. Assessment for evaluating specific skills and competencies,Cognitive
Apprentice 8.0 Job Focused Assessment,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,Apprentice 8.0 Job Focused Assessment. Assessment for evaluating specific skills and competencies,General
Following Instructions v1 - UK (R1),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/following-instructions-v1-uk-r1/,Following Instructions v1 - UK (R1). Assessment for evaluating specific skills and competencies,General
PHP (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/php-new/,PHP (New). Assessment for evaluating specific skills and competencies,General
What Is The Value - US,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/what-is-the-value-us/,What Is The Value - US. Assessment for evaluating specific skills and competencies,General
Digital Advertising (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/digital-advertising-new/,Digital Advertising (New). Assessment for evaluating specific skills and competencies,General
Fundamentals of Chemistry (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/fundamentals-of-chemistry-new/,Fundamentals of Chemistry (New). Assessment for evaluating specific skills and competencies,General
Adobe Photoshop CC,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Adobe Photoshop CC. Assessment for evaluating specific skills and competencies,General
SHL Verify Interactive – Deductive Reasoning,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,SHL Verify Interactive – Deductive Reasoning. Assessment for evaluating specific skills and competencies,Cognitive
Petroleum Engineering (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,Petroleum Engineering (New). Assessment for evaluating specific skills and competencies,General
Account Manager Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution. Assessment for evaluating specific skills and competencies,General
SAP Hybris (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/sap-hybris-new/,SAP Hybris (New). Assessment for evaluating specific skills and competencies,General
Smart Interview Live Coding,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/smart-interview-live-coding/,Smart Interview Live Coding. Assessment for evaluating specific skills and competencies,Technical Skills
Verify Interactive G+ Candidate Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-interactive-g-candidate-report/,Verify Interactive G+ Candidate Report. Assessment for evaluating specific skills and competencies,Cognitive
Organic Chemistry (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/organic-chemistry-new/,Organic Chemistry (New). Assessment for evaluating specific skills and competencies,General
Economics (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/economics-new/,Economics (New). Assessment for evaluating specific skills and competencies,General
.NET XAML (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/net-xaml-new/,.NET XAML (New). Assessment for evaluating specific skills and competencies,Technical Skills
Entry Level Customer Serv-Retail & Contact Center,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/entry-level-customer-serv-retail-and-contact-center/,Entry Level Customer Serv-Retail & Contact Center. Assessment for evaluating specific skills and competencies,General
SVAR - Spoken French (European) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/svar-spoken-french-european-new/,SVAR - Spoken French (European) (New). Assessment for evaluating specific skills and competencies,General
Bank Collections Agent - Short Form,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,Bank Collections Agent - Short Form. Assessment for evaluating specific skills and competencies,General
Siebel Development (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/siebel-development-new/,Siebel Development (New). Assessment for evaluating specific skills and competencies,General
Medical Terminology (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/medical-terminology-new/,Medical Terminology (New). Assessment for evaluating specific skills and competencies,General
Executive Scenarios,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/executive-scenarios/,Executive Scenarios. Assessment for evaluating specific skills and competencies,General
Food Science (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/food-science-new/,Food Science (New). Assessment for evaluating specific skills and competencies,General
Manufacturing & Industrial - Essential Focus 8.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/essential-focus-8-0/,Manufacturing & Industrial - Essential Focus 8.0. Assessment for evaluating specific skills and competencies,General
WriteX - Email Writing (Sales) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/writex-email-writing-sales-new/,WriteX - Email Writing (Sales) (New). Assessment for evaluating specific skills and competencies,Language
Conversational Multichat Simulation,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/conversational-multichat-simulation/,Conversational Multichat Simulation. Assessment for evaluating specific skills and competencies,Simulation
Assessment and Development Center Exercises,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,Assessment and Development Center Exercises. Assessment for evaluating specific skills and competencies,Simulation
Virtual Assessment and Development Centers,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/virtual-assessment-and-development-centers/,Virtual Assessment and Development Centers. Assessment for evaluating specific skills and competencies,General
Visual Comparison - US,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/visual-comparison-us/,Visual Comparison - US. Assessment for evaluating specific skills and competencies,General
Business Communication (adaptive),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,Business Communication (adaptive). Assessment for evaluating specific skills and competencies,General
OPQ Team Impact Selection Report,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-team-impact-selection-report/,OPQ Team Impact Selection Report. Assessment for evaluating specific skills and competencies,Personality & Behavior
Verify Interactive Process Monitoring,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/verify-interactive-process-monitoring/,Verify Interactive Process Monitoring. Assessment for evaluating specific skills and competencies,Cognitive
Cashier Solution,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/cashier-solution/,Cashier Solution. Assessment for evaluating specific skills and competencies,General
OPQ Candidate Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-candidate-report-2-0/,OPQ Candidate Report 2.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
Informatica (Architecture) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/informatica-architecture-new/,Informatica (Architecture) (New). Assessment for evaluating specific skills and competencies,General
MS Excel (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/ms-excel-new/,MS Excel (New). Assessment for evaluating specific skills and competencies,General
Dojo (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/dojo-new/,Dojo (New). Assessment for evaluating specific skills and competencies,General
Enterprise Leadership Report 1.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,Enterprise Leadership Report 1.0. Assessment for evaluating specific skills and competencies,General
HiPo Assessment Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/hipo-assessment-report-2-0/,HiPo Assessment Report 2.0. Assessment for evaluating specific skills and competencies,General
.NET Framework 4.5,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,.NET Framework 4.5. Assessment for evaluating specific skills and competencies,Technical Skills
Hibernate (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/hibernate-new/,Hibernate (New). Assessment for evaluating specific skills and competencies,General
Pharmaceutical Chemistry (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,Pharmaceutical Chemistry (New). Assessment for evaluating specific skills and competencies,General
Core Java (Entry Level) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/core-java-entry-level-new/,Core Java (Entry Level) (New). Assessment for evaluating specific skills and competencies,Technical Skills
Perl (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/perl-new/,Perl (New). Assessment for evaluating specific skills and competencies,General
Manufacturing & Industrial - Vigilance Focus 8.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/vigilance-focus-8-0/,Manufacturing & Industrial - Vigilance Focus 8.0. Assessment for evaluating specific skills and competencies,General
WriteX - Email Writing (Managerial) (New),Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/writex-email-writing-managerial-new/,WriteX - Email Writing (Managerial) (New). Assessment for evaluating specific skills and competencies,Language
OPQ UCF Development Action Planner Report 2.0,Assessment for evaluating specific skills and competencies,https://www.shl.com/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,OPQ UCF Development Action Planner Report 2.0. Assessment for evaluating specific skills and competencies,Personality & Behavior
